Date,Open,High,Low,Close,Adj Close,Volume
9/5/2018,47300,47450,46400,46600,41315.03906,9139998
9/6/2018,46200,46400,45800,46100,40871.74609,9040553
9/7/2018,44500,45200,44400,44900,39807.84375,18285508
9/10/2018,45450,45550,45000,45500,40339.80078,9979838
9/11/2018,45550,45900,45050,45050,39940.83594,9865790
9/12/2018,44900,45100,44500,44550,39497.53516,12995269
9/13/2018,44550,44750,44000,44050,39054.23828,18277942
9/14/2018,45000,45850,44900,45850,40650.10547,12446344
9/17/2018,45550,45800,44900,45150,40029.48047,8123384
9/18/2018,44950,45900,44700,45500,40339.80078,9987090
9/19/2018,46000,46200,45700,46150,40916.07813,9367454
9/20/2018,46850,47600,46400,47250,41891.3125,13536966
9/21/2018,46550,47550,46550,47400,42024.30859,14476906
9/27/2018,46950,47500,46450,47500,42429.85547,15804586
9/28/2018,47250,47250,46300,46450,41491.92578,11270515
10/1/2018,46450,46800,45800,46350,41402.59766,6354983
10/2/2018,46450,46700,45700,45700,40821.98438,6607188
10/4/2018,45150,45600,44700,44700,39928.72266,11865327
10/5/2018,44800,45500,44550,44700,39928.72266,10544165
10/8/2018,44200,45200,44200,44950,40152.03906,6759464
10/10/2018,45250,45500,44500,45300,40464.67969,10341349
10/11/2018,44000,44650,43100,43100,38499.50391,19324537
10/12/2018,43200,44650,43200,44000,39303.4375,12640906
10/15/2018,44050,44050,43350,43800,39124.78906,7434522
10/16/2018,43700,44150,43350,43600,38946.14063,6825677
10/17/2018,44150,44500,44000,44150,39437.4375,8306193
10/18/2018,43950,44450,43700,44050,39348.10547,8347725
10/19/2018,43900,44150,43450,43900,39214.12109,7842520
10/22/2018,43450,43950,43200,43550,38901.47656,8357648
10/23/2018,43300,43450,42550,43050,38454.84766,9531231
10/24/2018,43050,43100,42250,42550,38008.21484,13522825
10/25/2018,40600,41550,40550,41000,36623.66406,19338170
10/26/2018,41100,41300,40400,41000,36623.66406,14413864
10/29/2018,40850,41950,40550,41400,36980.97266,14460521
10/30/2018,41400,43000,41000,42350,37829.55859,14205190
10/31/2018,42900,43350,41700,42400,37874.23438,17621480
11/1/2018,42450,42950,42150,42150,37650.91016,13423132
11/2/2018,43050,44250,42800,44150,39437.4375,16517112
11/5/2018,43750,43800,42900,43800,39124.78906,9426777
11/6/2018,43750,43800,42950,43750,39080.13281,7713625
11/7/2018,43600,44500,43400,44000,39303.4375,11553998
11/8/2018,44900,45050,44050,44050,39348.10547,12617397
11/9/2018,44450,44850,43900,44300,39571.42188,7318500
11/12/2018,43850,45250,43700,45200,40375.35547,8552566
11/13/2018,43900,44500,43400,44500,39750.07031,9311126
11/14/2018,44500,44500,43800,44100,39392.76953,6783344
11/15/2018,44050,44350,43500,44250,39526.75,5864067
11/16/2018,44600,44750,43700,44000,39303.4375,7777124
11/19/2018,44050,44250,43450,43650,38990.80078,7538720
11/20/2018,42450,43000,42100,42800,38231.52344,9420664
11/21/2018,41800,42300,41800,42100,37606.25,10769589
11/22/2018,42000,42650,42000,42450,37918.88672,5970796
11/23/2018,42450,42600,41900,42400,37874.23438,5192638
11/26/2018,42150,42800,42100,42600,38052.875,6613009
11/27/2018,42900,43100,42500,43050,38454.84766,8367091
11/28/2018,42800,43200,42750,43150,38544.16797,6943099
11/29/2018,43850,43850,42900,43150,38544.16797,8473511
11/30/2018,43450,44000,41750,41850,37382.9375,19775519
12/3/2018,42750,43400,42400,43250,38633.5,12110702
12/4/2018,42650,42900,41900,42150,37650.91016,14347746
12/5/2018,40900,41750,40850,41450,37025.63281,12631983
12/6/2018,40600,41100,40450,40500,36177.03516,14251826
12/7/2018,40900,41400,40850,40950,36578.99609,11433083
12/10/2018,40450,40650,40000,40200,35909.04688,14892263
12/11/2018,40600,40700,40200,40250,35953.71484,10638766
12/12/2018,40250,40700,40150,40450,36132.37109,12024279
12/13/2018,40650,40750,40000,40000,35730.40625,26254646
12/14/2018,40200,40200,38700,38950,34792.47656,19671783
12/17/2018,38650,39600,38650,39150,34971.13672,11532968
